Representative_Sequence	total	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
Cryptosporangium	0.00102589907630473	3.22361131279624e-05	9.22652961312992e-05	0.000775097450389141	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	0.000112016886290994	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.5568587998224e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Cupriavidus	0.0307964408915171	0.000212474434702199	0.00116425324536058	0.000173929180050449	1.03813490281094e-06	1.5877402931374e-06	8.03183321010645e-06	0.000296996538529248	6.5595436245227e-06	4.90858154394007e-06	0.00019707968182981	0.00103192367759989	0.000141647908126616	0.00634055380067835	0.00941322904577996	0.00889605791715611	0.000893494760271194	0.00145151346292358	0.000363423306035172	8.73815385908115e-05	6.23065578573541e-05	2.74381680974191e-05	2.58346397049477e-07	1.00504598288915e-05	4.04535732825653e-06	4.94862942045282e-06	1.30904137924545e-06
Curtobacterium	0.00123499846555185	3.22361131279624e-05	0.000145757708767491	7.70742920514378e-05	2.58346397049477e-07	2.58346397049477e-07	9.82042802415673e-05	0.000416462563933121	0.000182993065993773	2.58346397049477e-07	1.2559679861597e-05	9.39751062337949e-05	6.35115713813292e-05	1.769270603302e-05	2.0597522497704e-05	9.01836566909187e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.6794504992278e-05	1.38482572472343e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.43091715290031e-06	2.58346397049477e-07
Curvibacter	0.000169000928285973	3.16541609985974e-06	2.39804290249714e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.81304375966087e-06	7.96583190697672e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.03931939568902e-06	1.88622360983082e-05	2.93156124570004e-05	2.0597522497704e-05	7.47185102094099e-05	2.58346397049477e-07	2.69333820330205e-06	2.5568587998224e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Cyanobacterium	0.00328217289027654	3.16541609985974e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	9.23043345093441e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.29173198524739e-06	2.58346397049477e-07	1.82029239432857e-06	2.58346397049477e-07	0.00185992337423391	0.000960267458347942	0.000442639319635191	2.58346397049477e-07	2.69333820330205e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.21676908341788e-06	3.09860459545477e-06	2.58346397049477e-07	2.58346397049477e-07
Cyclobacterium	7.20441827043358e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	3.36774112227227e-06	1.5673317416904e-05	1.28607408519959e-05	1.29173198524739e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.46653577178349e-05	9.01836566909187e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Cycloclasticus	0.00141014609292598	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.29173198524739e-06	2.58346397049477e-07	2.58346397049477e-07	3.97912433730123e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.61381048659232e-05	0.000962080109866815	0.000287572396743665	8.73815385908115e-05	4.6794504992278e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Cystobacter	0.0026384481074835	6.07248580267001e-06	2.80744009678692e-05	0.00226465883133945	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.18195746619403e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.6749972092971e-05	0.000118225567780846	0.000157938693293813	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Cytophaga	0.0725975024883987	0.0255475868946937	0.00553779290249561	0.0172137098204283	2.59771191433388e-06	4.24652808531326e-06	8.03183321010645e-06	0.000470414962502611	0.000182993065993773	4.90858154394007e-06	0.000762941021198998	0.00356305716619065	0.000353732250720966	0.00549208163172778	0.00586607673382581	0.00672795314732561	3.59878029520153e-05	1.73032890408175e-05	7.15388360536825e-06	0.000522997499559621	9.33306635875065e-05	0.000108977633198528	6.35801808222102e-06	6.13361445615467e-06	3.24479393123094e-05	8.46634168800532e-06	2.0221551058773e-05
Dactylosporangium	0.00456395925252127	0.000968312557432867	0.000826181197499849	0.00257860226140522	1.81792340857241e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.28607408519959e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.769270603302e-05	0.000114157732560715	2.21583945771555e-05	2.58346397049477e-07	2.58346397049477e-07	4.85537120259533e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.78326431834236e-06	2.58346397049477e-07	4.99211006105829e-06	3.77605866460198e-06	3.4104313436374e-06
DCE29	5.80284242919796e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.65296872775731e-05	3.52984234852191e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Dechloromonas	0.00834121547333484	2.93290434251521e-05	0.000314793732697857	3.59817012115332e-06	2.58346397049477e-07	2.58346397049477e-07	1.81304375966087e-06	0.000165969284860485	1.91619380794691e-05	1.29173198524739e-06	1.2559679861597e-05	3.07162933439917e-05	4.86284596203222e-05	0.00200520970453366	0.00228638174011062	0.00332468566013714	3.99577425692337e-05	1.24333054283123e-05	7.15388360536825e-06	2.58346397049477e-07	2.58346397049477e-07	2.74381680974191e-05	2.58346397049477e-07	6.13361445615467e-06	2.151851862653e-06	2.58346397049477e-07	2.58346397049477e-07
Deefgea	0.00014857314371708	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.1632113902472e-06	6.35115713813292e-05	5.83728785169514e-05	1.24618520574422e-05	4.63835603307068e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Dehalobacterium	0.000376625924996719	3.16541609985974e-06	1.09568289242878e-05	2.58346397049477e-07	8.83601996042562e-06	4.01401632796873e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.06979960903967e-06	8.39401683731128e-06	4.63835603307068e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.73815385908115e-05	4.6794504992278e-05	0.000122567544048713	3.3806540665493e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Deinococcus	0.00899011167455174	6.07248580267001e-06	5.58904555386888e-05	0.00176034544899977	2.58346397049477e-07	2.58346397049477e-07	0.000278549174304489	0.00401585829706914	0.000605173280234479	7.75039191148432e-07	3.71623467906921e-05	1.97826713630381e-05	0.00101603072408578	6.06979960903967e-06	2.58346397049477e-07	4.63835603307068e-06	2.58346397049477e-07	2.58346397049477e-07	7.15388360536825e-06	0.000174504730784573	0.00080688509538101	0.000190517098299637	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	1.43091715290031e-06	2.58346397049477e-07
Delftia	0.000187813492805212	2.58346397049477e-07	2.39804290249714e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.1120891520131e-06	2.58346397049477e-07	7.75039191148432e-07	2.58346397049477e-07	2.58346397049477e-07	3.00245699190635e-05	2.93156124570004e-05	3.28010281580967e-05	8.34785294814523e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Demequina	0.00200664631012317	1.77007646139111e-05	0.000169294370327415	0.00015723006142993	2.58346397049477e-07	2.58346397049477e-07	1.58053200231634e-05	0.000162115542105522	0.000132583488173987	2.3251175734453e-06	4.94636802552397e-05	4.78976993140617e-05	0.000402102363944238	6.41843317289416e-05	4.09366985983585e-05	5.28184620293039e-05	7.96571387414179e-05	0.000202362666316013	0.00012667652854956	0.000174504730784573	9.33306635875065e-05	1.38482572472343e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Dermabacter	0.00120319404184184	3.16541609985974e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.66882015614432e-05	0.00109857503156168	6.32703186717817e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.06979960903967e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Dermacoccus	0.00592433617790029	1.47936949111008e-05	0.000139338619251148	6.93799384525716e-06	2.58346397049477e-07	2.58346397049477e-07	5.93368461762824e-05	0.00512958995325363	0.000227101446586085	8.24125006587833e-05	9.86690141134299e-05	4.1632113902472e-06	1.14206802178047e-05	2.58346397049477e-07	8.39401683731128e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.5568587998224e-06	8.73815385908115e-05	4.6794504992278e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.60348790875115e-06	2.58346397049477e-07
Dermatophilus	0.000280327358389495	2.58346397049477e-07	8.81713241884015e-06	6.93799384525716e-06	2.58346397049477e-07	2.58346397049477e-07	4.06804778249457e-05	0.000165969284860485	4.4366726989362e-05	2.3251175734453e-06	2.58346397049477e-07	2.60126539296811e-06	3.97912433730123e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desemzia	9.53948958796598e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.81304375966087e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.73815385908115e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfatibacillum	3.38968280236561e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.74381680974191e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfitobacterium	0.0273554024475003	4.09573222363932e-05	3.87728834951075e-05	2.02972887416725e-05	1.81792340857241e-06	2.25243724118137e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.39188874984112e-06	2.58346397049477e-07	2.60126539296811e-06	7.69990227755297e-06	0.000157167583120785	1.65296872775731e-05	9.01836566909187e-06	2.58346397049477e-07	1.24333054283123e-05	1.17509084109141e-05	0.00182984538246605	4.6794504992278e-05	0.000951552105909987	1.55075256099783e-05	2.21676908341788e-06	0.00800694620770156	0.00833606384974063	0.00783949360856121
Desulfobacca	0.0136892146432944	2.58346397049477e-07	2.39804290249714e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	7.75039191148432e-07	2.58346397049477e-07	7.28710338480538e-06	5.97907934410774e-05	0.00227253655228521	0.00516234124074316	0.00613227183682673	2.407798410036e-05	2.69333820330205e-06	2.5568587998224e-06	2.58346397049477e-07	1.57703992621256e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	3.09860459545477e-06	2.58346397049477e-07	2.58346397049477e-07
Desulfobacter	9.49639906064793e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	9.99831362205976e-06	2.58346397049477e-07	2.58346397049477e-07	7.78186107224303e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	2.58346397049477e-07	2.58346397049477e-07
Desulfobacterium	0.112516119941702	2.58346397049477e-07	8.81713241884015e-06	3.59817012115332e-06	1.81792340857241e-06	2.58346397049477e-07	3.36774112227227e-06	4.1120891520131e-06	1.28607408519959e-05	2.3251175734453e-06	4.94636802552397e-05	1.35348873739217e-05	7.46739052020844e-05	0.00351037608643912	0.0185699261262946	0.0225616879815422	0.000123326474530821	7.08731087783741e-05	2.32434704247787e-05	0.0208227012807062	0.0166291790177587	0.0299660117710546	1.70324435312712e-05	1.98425732607335e-05	1.72998955874812e-05	6.12120017630365e-06	3.4104313436374e-06
Desulfobulbus	0.0347046202671518	3.16541609985974e-06	4.53773940794481e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.22351751875571e-05	2.58346397049477e-07	2.54631353069424e-05	7.75039191148432e-07	1.2559679861597e-05	3.38223839160766e-06	4.49076816800705e-05	0.00660206919521791	0.00371825973759669	0.00450290825222684	2.80479237175784e-05	9.99831362205976e-06	2.58346397049477e-07	0.00444354114827891	0.00518128400333249	0.0100567923755338	4.83310016092814e-06	1.20088825152599e-05	4.99211006105829e-06	2.58346397049477e-07	1.30904137924545e-06
Desulfocapsa	0.00421599205514475	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.03813490281094e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.2559679861597e-05	1.82029239432857e-06	3.97912433730123e-06	8.74301445769023e-05	0.000162971755202286	0.000144798664385749	1.61381048659232e-05	3.19132398783329e-05	2.58346397049477e-07	0.00130710622930348	0.0017220962144205	0.000720523621456845	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfococcus	0.0111956245904461	2.58346397049477e-07	2.58346397049477e-07	3.59817012115332e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.39401683731128e-06	1.77783849411343e-05	2.58346397049477e-07	2.58346397049477e-07	2.5568587998224e-06	0.00383367880292258	0.00300959660222183	0.00430826008590564	2.58346397049477e-07	2.58346397049477e-07	5.93886279386006e-06	1.43091715290031e-06	2.58346397049477e-07
Desulfofaba	1.64569735482967e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	9.99831362205976e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfofrigus	1.40219817420441e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	7.56332181580719e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfomicrobium	2.79689203091703e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.11412279353292e-05	2.58346397049477e-07	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.32618161718038e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfomonile	0.00458539764502095	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	7.75039191148432e-07	2.58346397049477e-07	1.82029239432857e-06	3.7466125799567e-05	0.000651141106139951	0.00171281697407216	0.0018705224609781	2.01080444831416e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	7.78186107224303e-05	0.000204107009149822	1.78326431834236e-06	2.21676908341788e-06	1.20509912985124e-06	2.58346397049477e-07	2.58346397049477e-07
Desulfonatronospira	2.22290591883626e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.57703992621256e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfonatronum	4.39546404788092e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.39401683731128e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.57703992621256e-05	1.38482572472343e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulforhopalus	0.0150743622139597	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.1120891520131e-06	6.5595436245227e-06	1.29173198524739e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.18812528210299e-05	4.32618161718038e-06	4.63835603307068e-06	4.2282860142679e-06	1.24333054283123e-05	4.85537120259533e-06	0.00897394714235453	0.00452977778299929	0.00150873845076756	2.58346397049477e-07	2.21676908341788e-06	1.20509912985124e-06	2.58346397049477e-07	1.30904137924545e-06
Desulfosarcina	0.0499687297716757	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.28607408519959e-05	7.75039191148432e-07	2.48610133261446e-05	2.58346397049477e-07	2.58346397049477e-07	1.18812528210299e-05	4.32618161718038e-06	4.63835603307068e-06	4.2282860142679e-06	9.99831362205976e-06	1.4049420813687e-05	0.023087904277744	0.0180562878813457	0.00872498111221571	1.78326431834236e-06	2.21676908341788e-06	4.04535732825653e-06	2.58346397049477e-07	1.30904137924545e-06
Desulfosporomusa	6.62119014609824e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.06979960903967e-06	1.65296872775731e-05	2.21583945771555e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.57703992621256e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfosporosinus	0.00100501538568081	3.16541609985974e-06	3.02140974733168e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.4250622660552e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	3.97912433730123e-06	0.000104864504212873	0.000187378766523071	0.000341899098006703	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	0.000124354769317659	0.000190517098299637	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfotalea	0.00390007057256404	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.06979960903967e-06	2.0597522497704e-05	2.58346397049477e-07	2.58346397049477e-07	2.21732726533226e-05	4.85537120259533e-06	0.00121998303710972	0.00228053011756325	0.00034000611765167	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	2.58346397049477e-07	2.58346397049477e-07
Desulfotomaculum	1.07848415434173e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.32618161718038e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Desulfovibrio	0.00764462556277072	0.000160147180051614	1.73759184406308e-05	1.0277817569361e-05	0.0027575905027696	0.000341912577691647	2.58346397049477e-07	9.660191527114e-05	2.54631353069424e-05	1.29173198524739e-06	1.2559679861597e-05	1.82029239432857e-06	2.63037919788117e-05	0.000523289135476167	0.00100501364576938	0.000547759550899699	1.21681652487047e-05	2.46082644595752e-05	9.45239600814118e-06	0.000348751115172097	0.000791373042515934	0.000924372284209617	3.30818223963525e-06	2.58346397049477e-07	2.151851862653e-06	2.58346397049477e-07	2.58346397049477e-07
Desulfuromonas	0.4104003992842	1.47936949111008e-05	1.09568289242878e-05	3.59817012115332e-06	1.81792340857241e-06	1.5877402931374e-06	2.58346397049477e-07	4.1120891520131e-06	2.54631353069424e-05	5.42527433803903e-06	4.94636802552397e-05	6.50613038616584e-06	7.69990227755297e-06	0.000151356129908794	0.000293142482246475	0.000284958972738427	1.21681652487047e-05	6.11331415533638e-05	3.47360324386434e-05	0.0569788260411174	0.1726028705761	0.17965887978584	3.68563765080788e-05	1.20088825152599e-05	0.000135643987187702	3.77605866460198e-06	2.35973636144142e-06
Desulfuromusa	9.78671814988521e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	7.78186107224303e-05	1.38482572472343e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Devosia	0.018842912772303	0.00187822537441248	0.00739077007621329	0.00260866067492215	2.58346397049477e-07	2.58346397049477e-07	0.000191486121998251	0.000493537419032393	0.000119981093719041	2.58346397049477e-07	3.71623467906921e-05	9.00702412405972e-05	5.97907934410774e-05	0.00162165379254231	0.00113518437281357	0.00106898069758622	0.000119356534913602	0.00121531925771708	2.5568587998224e-06	0.000174504730784573	0.000543180196674715	6.82079006479736e-05	1.78326431834236e-06	6.13361445615467e-06	5.93886279386006e-06	7.29377093215449e-06	2.35973636144142e-06
Dialister	0.00676856981491387	3.16541609985974e-06	2.39804290249714e-06	6.93799384525716e-06	0.00148419587286112	0.00197773176682784	0.000721637922648736	0.000497391161787357	0.000976943916655399	8.0087383085338e-06	3.71623467906921e-05	2.58346397049477e-07	2.58346397049477e-07	1.18812528210299e-05	8.39401683731128e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.57703992621256e-05	6.82079006479736e-05	0.000924358606700539	2.18009959471019e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
