OTU	Size	Taxonomy
Clostridium	69418	Bacteria;Tenericutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Clostridium;
Clostridium_1	289801	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;
Clostridium_2	6	Bacteria;Firmicutes;Clostridia;Clostridiales;ClostridialesFamilyXI.IncertaeSedis;Clostridium;
Clostridium_3	47864	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium;
Clostridium_4	103467	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium;
Cobetia	32	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Cobetia;
Cohaesibacter	14	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae;Cohaesibacter;
Cohnella	134	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella;
Collimonas	713	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;
Collinsella	1291	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella;
Colwellia	1264	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;
Comamonas	1933	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;
Conchiformibius	366	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Conchiformibius;
Congregibacter	4403	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;OM60;Congregibacter;
Coprobacillus	862	Bacteria;Tenericutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;
Coprococcus	70073	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;
Coprothermobacter	15	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermodesulfobiaceae;Coprothermobacter;
Corallococcus	13	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Corallococcus;
Corynebacterium	92615	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium;
Coxiella	441	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;
Crenothrix	104758	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Crenotrichaceae;Crenothrix;
Croceibacter	1	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Croceibacter;
Crocosphaera	3	Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Cyanobacteriaceae;Crocosphaera;
Cronobacter	5	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cronobacter;
Crossiella	1368	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Crossiella;
Cryobacterium	149	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Cryobacterium;
Cryocola	72	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Cryocola;
Cryptosporangium	317	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cryptosporangiaceae;Cryptosporangium;
Cupriavidus	8575	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
Curtobacterium	455	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium;
Curvibacter	40	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;
Cyanobacterium	668	Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Cyanobacteriaceae;Cyanobacterium;
Cyclobacterium	18	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Cyclobacterium;
Cycloclasticus	531	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Piscirickettsiaceae;Cycloclasticus;
Cystobacter	769	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Cystobacter;
Cytophaga	25452	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Cytophaga;
Dactylosporangium	1545	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Dactylosporangium;
DCE29	12	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Thermodesulfovibrionaceae;DCE29;
Dechloromonas	1951	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;
Deefgea	36	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Deefgea;
Dehalobacterium	116	Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae;Dehalobacterium;
Deinococcus	2249	Bacteria;Thermi;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;
Delftia	43	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;
Demequina	582	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Demequina;
Dermabacter	314	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Dermabacter;
Dermacoccus	1661	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Dermacoccus;
Dermatophilus	90	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;Dermatophilus;
Desemzia	2	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia;
Desulfatibacillum	2	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Desulfobacteraceae;Desulfatibacillum;
Desulfitobacterium	23231	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;
Desulfobacca	3099	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfobacca;
Desulfobacter	10	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Desulfobacteraceae;Desulfobacter;
Desulfobacterium	14010	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Desulfobacteraceae;Desulfobacterium;
Desulfobulbus	4281	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
Desulfocapsa	289	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;
Desulfococcus	570	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Desulfobacteraceae;Desulfococcus;
Desulfofaba	4	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Desulfobacteraceae;Desulfofaba;
Desulfofrigus	3	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Desulfobacteraceae;Desulfofrigus;
Desulfomicrobium	9	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium;
Desulfomonile	1001	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;
Desulfonatronospira	1	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfonatronospira;
Desulfonatronum	4	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfonatronumaceae;Desulfonatronum;
Desulforhopalus	525	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulforhopalus;
Desulfosarcina	2098	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Desulfobacteraceae;Desulfosarcina;
Desulfosporomusa	11	Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Desulfosporomusa;
Desulfosporosinus	189	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;
Desulfotalea	204	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;
Desulfotomaculum	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;
Desulfovibrio	4763	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
Desulfuromonas	25429	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;
Desulfuromusa	6	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromusa;
Devosia	6677	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;
Dialister	6275	Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Dialister;
Diaphorobacter	80	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;
Dichelobacter	1	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Dichelobacter;
Dickeya	91	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;
Dietzia	1279	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia;
Dinoroseobacter	187	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Dinoroseobacter;
Dokdonella	2303	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dokdonella;
Dokdonia	41	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Dokdonia;
Dolichospermum	928033	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Dolichospermum;
Dorea	44023	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;
Dyadobacter	714	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Dyadobacter;
Dyella	617	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dyella;
Dysgonomonas	146	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas;
Echinicola	1	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Echinicola;
Ectothiorhodospira	14	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira;
Edaphobacter	2390	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Edaphobacter;
Edwardsiella	86297	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella;
Eggerthella	721	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Eggerthella;
Eikenella	416	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;
Elizabethkingia	134	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Elizabethkingia;
Emticicia	2117	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Emticicia;
Endozoicimonas	48	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Endozoicimonaceae;Endozoicimonas;
Ensifer	254	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;
Enterobacter	113	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;
Enterococcus	1748	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
Enterovibrio	178	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Enterovibrio;
Entomoplasma	4	Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Entomoplasmataceae;Entomoplasma;
Epulopiscium	58	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Epulopiscium;
Erwinia	28768	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;
Erysipelothrix	1	Bacteria;Tenericutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;
Erythrobacter	81	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;
Erythromicrobium	86	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythromicrobium;
Escherichia	94	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;
Ethanoligenens	4	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens;
Eubacterium	2148	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;
Eubacterium_1	1505	Bacteria;Firmicutes;Clostridia;Clostridiales;ClostridialesFamilyXIII.IncertaeSedis;Eubacterium;
Eubacterium_2	5773	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eubacterium;
Eubacterium_3	13036	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Eubacterium;
Euzebia	277	Bacteria;Actinobacteria;Actinobacteria;Euzebiales;Euzebiaceae;Euzebia;
Ewingella	3	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Ewingella;
Exiguobacterium	232	Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium;
Facklamia	205	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;
Faecalibacterium	609623	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
Ferrimonas	145	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae;Ferrimonas;
Fervidobacterium	20	Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Fervidobacterium;
Fibrobacter	237	Bacteria;Fibrobacteres;Fibrobacteres;Fibrobacterales;Fibrobacteraceae;Fibrobacter;
Filifactor	322	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor;
Finegoldia	13374	Bacteria;Firmicutes;Clostridia;Clostridiales;ClostridialesFamilyXI.IncertaeSedis;Finegoldia;
Fischerella	1	Bacteria;Cyanobacteria;Nostocophycideae;Stigonematales;NA;Fischerella;
Flammeovirga	45	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Flammeovirga;
Flavisolibacter	21464	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;NA;Flavisolibacter;
Flavobacterium	144736	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
Flectobacillus	7	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Flectobacillus;
Flexibacter	79	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Flexibacter;
Flexithrix	5	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Flexithrix;
Fluviicola	41820	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Fluviicola;
Formosa	96	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Formosa;
Francisella	71	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella;
Frankia	367	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Frankia;
Frateuria	418	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Frateuria;
Friedmanniella	1	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Friedmanniella;
Frigoribacterium	237	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Frigoribacterium;
Fructobacillus	4	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Fructobacillus;
Fulvimarina	34	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Fulvimarina;
Fulvivirga	187	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Fulvivirga;
Fusibacter	3	Bacteria;Firmicutes;Clostridia;Clostridiales;ClostridialesFamilyXII.IncertaeSedis;Fusibacter;
Fusobacterium	162439	Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Fusobacterium;
Gallibacterium	997	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Gallibacterium;
Gallionella	657	Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Gallionella;
Gardnerella	7	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;
Gelidibacter	37	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gelidibacter;
Gemella	19210	Bacteria;Firmicutes;Bacilli;Gemellales;Gemellaceae;Gemella;
Gemmata	9860	Bacteria;Planctomycetes;Planctomycea;Gemmatales;Gemmataceae;Gemmata;
Gemmatimonas	10375	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;
Geobacillus	28	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;
Geobacter	51065	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;
Geodermatophilus	7195	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Geodermatophilus;
Georgenia	379	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Bogoriellaceae;Georgenia;
Geothrix	1474	Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;
Giesbergeria	13	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Giesbergeria;
Gillisia	201	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gillisia;
Glaciecola	1257	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola;
Gloeotrichia	25	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Gloeotrichia;
Gluconacetobacter	36	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;
Gluconobacter	1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;
Glycomyces	10	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;Glycomyces;
Goodfellowiella	25	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Goodfellowiella;
Gordonia	5577	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Gordonia;
GOUTA19	4219	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Thermodesulfovibrionaceae;GOUTA19;
GOUTA7	38	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;FW;GOUTA7;
Gramella	54	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gramella;
Granulicatella	22140	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;
Haematobacter	325	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter;
Haemophilus	456928	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;
Hahella	233	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella;
Haliangium	647	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;
Haliscomenobacter	112	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Haliscomenobacter;
Haloanella	440	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Haloanella;
Haloarcula	17	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula;
Halobacillus	12	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;
Halochromatium	105	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Halochromatium;
Haloferula	363	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Haloferula;
Halolactibacillus	7	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halolactibacillus;
Halomicrobium	1	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomicrobium;
Halomicronema	3	Bacteria;Cyanobacteria;Synechococcophycideae;Pseudanabaenales;Pseudanabaenaceae;Halomicronema;
Halomonas	1862	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;
Haloplasma	2	Bacteria;Firmicutes;Bacilli;Haloplasmatales;Haloplasmataceae;Haloplasma;
Haloterrigena	2	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloterrigena;
Halothiobacillus	5	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus;
HB118	17	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Thermodesulfovibrionaceae;HB118;
HB2_32_21	285	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alteromonadaceae;HB2_32_21;
Helcococcus	9	Bacteria;Firmicutes;Clostridia;Clostridiales;ClostridialesFamilyXI.IncertaeSedis;Helcococcus;
Helicobacter	29	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;
Herbaspirillum	932	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
Hirschia	5	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Hirschia;
Histophilus	3	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus;
Holdemania	12882	Bacteria;Tenericutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania;
HTCC	23171	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;HTCC2188;HTCC;
HTCC2207	48149	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alteromonadaceae;HTCC2207;
Hydrocarboniphaga	70	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Hydrocarboniphaga;
Hydrogenophaga	4055	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;
Hydrogenophilus	11037	Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus;
Hylemonella	14829	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hylemonella;
Hymenobacter	5389	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Hymenobacter;
Hyphomicrobium	11419	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;
Hyphomonas	210	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Hyphomonas;
Iamia	706	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Iamiaceae;Iamia;
Ideonella	104	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;Ideonella;
Ignatzschineria	5	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Ignatzschineria;
Ignavibacterium	2077	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;
Inquilinus	139	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Inquilinus;
Iodobacter	11	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Iodobacter;
Isoptericola	24	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Isoptericola;
J2_29	4566	Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;J2_29;
Janibacter	558	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Janibacter;
Jannaschia	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;
Janthinobacterium	3273	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;
Jeotgalicoccus	36	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;
JG37_AG_70	76	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;JG37_AG_70;
Jiangella	6	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Jiangella;
Johnsonella	244	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella;
Jonesia	39	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Jonesiaceae;Jonesia;
Jonquetella	7	Bacteria;Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;
Kaistella	19	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Kaistella;
Kaistia	201	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Kaistia;
Kaistobacter	28317	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Kaistobacter;
Kangiella	316	Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;Kangiella;
Ketogulonicigenium	4	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ketogulonicigenium;
Kibdelosporangium	158	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Kibdelosporangium;
Kiloniella	1	Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Kiloniella;
Kineococcus	174	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineococcus;
Kineosporia	275	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporia;
Kingella	202420	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;
Kitasatospora	45	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Kitasatospora;
Klebsiella	17337	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;
Knoellia	583	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Knoellia;
Kocuria	7301	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria;
Kordia	72	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Kordia;
Kordiimonas	529	Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Kordiimonas;
Kouleothrix	10	Bacteria;Chloroflexi;Chloroflexi;Roseiflexales;Kouleothrixaceae;Kouleothrix;
Kribbella	1797	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Kribbella;
