OTU	total	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
Chelonobacter	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2
Chitinimonas	27	14	6	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga	1378	312	169	857	0	0	0	0	0	0	0	4	0	4	6	8	0	10	0	0	0	0	0	0	0	1	7
Chondromyces	816	84	233	343	1	0	0	0	0	1	0	1	0	11	55	56	1	0	1	4	15	5	1	0	3	1	0
Chromobacterium	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromohalobacter	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Chroococcidiopsis	119	0	0	60	0	0	1	46	1	0	0	2	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium	2498	59	587	13	0	0	384	997	395	1	2	14	7	0	0	0	0	20	16	1	0	0	0	1	0	0	1
Chthoniobacter	35834	4882	8074	7938	4	4	74	329	35	16	14	487	106	7315	3537	2814	21	18	9	11	3	9	2	22	55	25	30
Citricoccus	39	0	0	0	0	0	6	18	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Citrobacter	284	0	0	0	0	0	3	9	3	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	81	96	87
Clavibacter	248	1	2	2	0	0	56	17	7	0	0	141	17	3	1	0	0	0	0	0	0	0	0	0	0	0	1
Cloacibacillus	71	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
Clostridium	69418	44	33	43	4574	1418	18	21	7	14	3	3	4	75	9	6	4	4	5	51	1	170	681	68	26708	14320	21134
Clostridium_1	289801	383	418	159	6792	6206	256	220	126	95	35	64	64	2082	7353	5687	50	54	41	171	287	1067	11132	667	77440	96869	72083
Clostridium_2	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_3	47864	12	11	22	1373	555	2	0	0	24	6	5	3	127	7	12	4	6	4	29	20	135	5945	11185	10272	7078	11027
Clostridium_4	103467	149	52	53	8065	7409	397	115	35	1572	115	18	13	251	13	22	1	25	11	26	93	895	20649	25997	14556	10714	12221
Cobetia	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	30	1	0	0	0	0	0	0	0	0	0
Cohaesibacter	14	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cohnella	134	15	85	2	0	0	12	0	2	0	0	0	0	0	3	4	0	0	0	0	4	5	0	0	0	2	0
Collimonas	713	28	14	25	1	0	2	2	0	1	5	161	6	85	214	165	0	1	0	1	1	0	0	0	1	0	0
Collinsella	1291	0	0	0	46	20	0	4	1	0	0	0	0	12	0	0	0	0	0	0	0	1	7	980	63	88	69
Colwellia	1264	0	0	0	0	0	0	0	0	1	1	1	0	15	7	9	11	1099	108	2	8	1	0	0	0	1	0
Comamonas	1933	4	22	2	0	1	7	1422	67	0	6	225	32	38	48	34	0	15	5	2	0	0	1	0	0	1	1
Conchiformibius	366	0	0	1	0	0	181	31	115	31	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Congregibacter	4403	5	0	0	0	1	0	1	1	8	2	2	1	28	56	42	898	808	256	368	1233	604	5	2	38	19	25
Coprobacillus	862	0	0	0	48	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	132	663	6	4	1
Coprococcus	70073	104	32	37	52395	6717	38	191	1	37	12	17	7	43	43	34	4	13	15	1	13	93	5289	4298	248	165	226
Coprothermobacter	15	0	0	0	0	0	0	1	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corallococcus	13	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium	92615	10	14	11	60	30	39331	42026	10597	143	82	52	36	23	28	11	4	23	18	9	18	16	21	16	13	6	17
Coxiella	441	13	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	264	57	0	1	0	0	0
Crenothrix	104758	8	15	5	8	9	3	6	9	43	41	147	355	8567	41164	38135	205	76	101	274	13321	2135	8	27	76	11	9
Croceibacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Crocosphaera	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
Crossiella	1368	27	241	987	0	0	29	56	13	0	0	2	0	2	0	0	0	1	0	2	3	2	0	0	1	1	1
Cryobacterium	149	0	26	59	0	0	5	13	4	0	0	33	0	1	1	6	0	0	0	0	0	0	0	0	1	0	0
Cryocola	72	10	28	27	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
Cryptosporangium	317	11	43	232	0	0	0	29	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cupriavidus	8575	73	544	52	1	2	5	77	1	9	16	1321	38	1091	2314	2031	225	596	158	1	4	2	0	5	4	4	1
Curtobacterium	455	11	68	23	0	0	63	108	29	0	1	120	17	3	5	2	0	0	0	0	3	1	0	0	0	1	0
Curvibacter	40	1	1	0	0	0	1	2	0	0	0	1	5	5	5	17	0	1	1	0	0	0	0	0	0	0	0
Cyanobacterium	668	1	0	0	0	1	0	0	0	2	0	2	0	320	236	101	0	1	0	0	0	0	0	1	3	0	0
Cyclobacterium	18	0	0	0	0	0	2	4	2	2	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0
Cycloclasticus	531	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	4	395	125	1	3	0	0	0	0	0	0
Cystobacter	769	2	13	678	0	0	0	3	0	0	0	0	0	8	29	36	0	0	0	0	0	0	0	0	0	0	0
Cytophaga	25452	8788	2588	5154	3	6	5	122	29	9	62	4562	95	945	1442	1536	9	7	3	6	6	8	4	3	34	7	19
Dactylosporangium	1545	333	386	772	2	0	0	0	2	0	0	0	0	3	28	5	0	0	2	0	0	0	1	0	5	3	3
DCE29	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0
Dechloromonas	1951	10	147	1	0	0	1	43	3	2	1	39	13	345	562	759	10	5	3	0	0	2	0	3	2	0	0
Deefgea	36	0	0	0	0	0	0	0	0	0	0	5	17	10	3	1	0	0	0	0	0	0	0	0	0	0	0
Dehalobacterium	116	1	5	0	11	60	0	0	0	0	0	0	0	1	2	1	0	0	0	1	3	9	22	0	0	0	0
Deinococcus	2249	2	26	527	0	0	179	1042	96	1	3	25	273	1	0	1	0	0	3	2	52	14	0	0	1	1	0
Delftia	43	0	1	0	0	0	0	1	0	1	0	0	8	5	8	19	0	0	0	0	0	0	0	0	0	0	0
Demequina	582	6	79	47	0	0	10	42	21	4	4	61	108	11	10	12	20	83	55	2	6	1	0	0	0	0	0
Dermabacter	314	1	0	0	0	0	17	285	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermacoccus	1661	5	65	2	0	0	38	1331	36	159	8	5	3	0	2	0	0	0	1	1	3	0	0	0	0	2	0
Dermatophilus	90	0	4	2	0	0	26	43	7	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desemzia	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Desulfatibacillum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Desulfitobacterium	23231	14	18	6	2	3	0	0	0	8	0	3	2	27	4	2	0	5	5	21	3	70	10	1	8457	7109	7461
Desulfobacca	3099	0	1	0	0	0	0	0	0	1	0	9	16	391	1269	1400	6	1	1	0	1	0	0	0	3	0	0
Desulfobacter	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	1	0	0
Desulfobacterium	14010	0	4	1	2	0	2	1	2	4	4	17	20	604	4565	5151	31	29	10	239	1072	2205	11	10	18	5	3
Desulfobulbus	4281	1	2	0	0	0	27	0	4	1	1	4	12	1136	914	1028	7	4	0	51	334	740	3	6	5	0	1
Desulfocapsa	289	0	0	0	1	0	0	0	0	0	1	2	1	15	40	33	4	13	0	15	111	53	0	0	0	0	0
Desulfococcus	570	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	44	194	317	0	0	6	1	0
Desulfofaba	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Desulfofrigus	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Desulfomicrobium	9	0	0	0	0	0	7	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Desulfomonile	1001	0	0	0	0	0	0	0	0	1	0	2	10	112	421	427	5	0	0	0	5	15	1	1	1	0	0
Desulfonatronospira	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Desulfonatronum	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0
Desulforhopalus	525	0	0	0	0	0	0	1	1	2	0	0	0	2	1	1	1	5	2	103	292	111	0	1	1	0	1
Desulfosarcina	2098	0	0	0	0	0	0	0	2	1	2	0	0	2	1	1	1	4	6	265	1164	642	1	1	4	0	1
Desulfosporomusa	11	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	0	0	0	0	1	0	0	0	0	0	0
Desulfosporosinus	189	1	14	0	0	0	9	0	0	0	0	0	1	18	46	78	0	0	0	0	8	14	0	0	0	0	0
Desulfotalea	204	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	9	2	14	147	25	0	0	1	0	0
Desulfotomaculum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio	4763	55	8	3	3536	514	0	25	4	2	1	2	7	90	247	125	3	10	4	4	51	68	2	0	2	0	0
Desulfuromonas	25429	5	5	1	2	2	0	1	4	10	4	8	2	26	72	65	3	25	15	654	11127	13220	24	6	143	3	2
Desulfuromusa	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0
Devosia	6677	646	3454	781	0	0	123	128	19	0	3	115	16	279	279	244	30	499	1	2	35	5	1	3	6	6	2
Dialister	6275	1	1	2	1903	2975	464	129	155	15	3	0	0	2	2	0	0	0	0	0	1	5	606	11	0	0	0
Diaphorobacter	80	0	0	0	0	0	0	0	0	0	1	67	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0
Dichelobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Dickeya	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	34	28	26
Dietzia	1279	0	0	1	12	1	464	612	64	1	0	2	1	0	0	2	0	1	4	2	98	13	1	0	0	0	0
Dinoroseobacter	187	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	54	123	5	1	0	0	0	0	0	0
Dokdonella	2303	441	1241	65	0	0	0	483	2	1	1	34	0	4	2	12	0	1	0	1	4	0	0	0	5	6	0
Dokdonia	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	1	0	0	0	0	0	0	0	0
Dolichospermum	928033	24	23	392	30	119	26	29	67	532	8719	914391	967	130	136	1030	113	114	126	305	75	19	52	46	89	77	402
Dorea	44023	16	23	24	1158	108	2	14	0	18	4	8	2	105	5	5	1	7	4	26	2	103	4450	8371	10948	8530	10089
Dyadobacter	714	13	213	61	0	0	254	141	28	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0
Dyella	617	537	56	0	0	0	0	19	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0
Dysgonomonas	146	8	1	1	0	38	9	6	0	1	0	0	0	8	20	18	0	1	0	0	1	0	17	2	10	2	3
Echinicola	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectothiorhodospira	14	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	0	0	0	0	0
Edaphobacter	2390	1420	934	1	1	0	2	2	7	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	12	4	1
Edwardsiella	86297	55	48	30	8	9	5	0	1	20	6	11	8	102	13	7	0	18	22	77	4	245	39	15	30920	25823	28811
Eggerthella	721	1	0	0	208	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	3	248	255	0	0	0
Eikenella	416	1	0	0	0	0	150	2	197	52	6	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Elizabethkingia	134	0	59	1	0	0	0	66	0	0	0	1	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0
Emticicia	2117	0	24	1	0	0	0	0	0	1	2	5	2014	55	7	7	0	0	0	0	0	0	0	0	1	0	0
Endozoicimonas	48	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	3	28	4	2	3	2	0	0	0	0	0
Ensifer	254	2	10	30	0	0	14	48	5	1	0	0	0	0	1	0	0	2	0	7	117	17	0	0	0	0	0
Enterobacter	113	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	34	41
Enterococcus	1748	2	3	0	2	0	383	31	17	1295	7	0	0	1	2	1	0	0	3	0	0	1	0	0	0	0	0
Enterovibrio	178	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	6	159	10	0	0	0	0	0	0	0	0
Entomoplasma	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epulopiscium	58	19	4	3	1	1	3	0	9	0	0	1	0	0	3	1	0	0	0	0	5	6	1	0	1	0	0
Erwinia	28768	5	21	3	1	1	94	275	29	10	4	5	31	17	3	6	1	11	6	9	2	79	21	5	9890	8433	9806
Erysipelothrix	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Erythrobacter	81	0	6	6	0	0	0	25	0	0	0	0	0	0	0	0	1	0	2	11	24	6	0	0	0	0	0
Erythromicrobium	86	0	5	57	0	0	1	3	8	0	0	2	0	4	1	2	0	0	0	0	2	0	0	0	1	0	0
Escherichia	94	1	1	0	0	1	1	1	0	1	0	0	0	3	1	0	1	4	3	1	0	0	1	1	26	18	29
Ethanoligenens	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium	2148	0	0	0	0	1	883	3	246	318	12	1	1	4	0	0	0	0	0	0	0	1	58	620	0	0	0
Eubacterium_1	1505	0	0	0	350	9	387	38	0	535	29	0	0	2	0	0	0	1	0	0	0	0	101	53	0	0	0
Eubacterium_2	5773	25	3	9	883	658	25	13	0	136	5	7	0	13	0	0	0	2	0	0	10	150	2341	1325	63	49	56
Eubacterium_3	13036	4	3	2	6827	665	4	12	0	8	1	3	0	31	2	0	0	0	1	0	2	19	2081	3330	16	14	11
Euzebia	277	1	7	265	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Ewingella	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Exiguobacterium	232	1	8	1	0	0	137	31	37	0	0	2	1	3	3	3	0	0	0	0	2	2	1	0	0	0	0
Facklamia	205	1	0	0	0	0	70	108	20	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Faecalibacterium	609623	419	133	130	162726	65482	145	436	47	851	133	148	50	1069	146	66	19	86	109	13	32	2723	215516	157965	770	184	225
Ferrimonas	145	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	138	3	0	0	0	0	0	0	0	0
Fervidobacterium	20	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacter	237	145	17	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Filifactor	322	0	0	0	0	0	298	0	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Finegoldia	13374	1	0	0	2797	81	3168	6243	918	8	6	8	1	1	6	0	0	1	2	1	0	1	77	47	3	0	4
Fischerella	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flammeovirga	45	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	39	1	0	0	0	0	0	0	0	0
Flavisolibacter	21464	427	2202	15019	5	0	212	747	569	4	8	46	2070	23	19	27	0	4	2	6	18	3	6	1	2	8	36
Flavobacterium	144736	238	3059	1130	10	21	333	1476	183	108	811	88471	45028	1388	561	1322	34	172	167	35	24	7	13	11	39	37	58
Flectobacillus	7	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
Flexibacter	79	0	0	0	0	0	0	0	0	0	1	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flexithrix	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
Fluviicola	41820	8	45	4	3	7	1	3	7	68	126	9965	5387	166	71	59	1658	18442	5534	14	160	62	2	1	13	8	6
Formosa	96	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	14	57	20	0	2	0	0	0	0	1	0
Francisella	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	23	6	6	12	4	0	0	0	0	0
Frankia	367	33	115	190	0	0	2	8	1	0	0	3	1	3	3	2	0	0	0	0	0	0	2	0	0	2	2
Frateuria	418	372	27	0	0	0	0	14	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1
Friedmanniella	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frigoribacterium	237	1	14	2	0	0	1	2	0	0	3	206	1	1	2	3	0	1	0	0	0	0	0	0	0	0	0
Fructobacillus	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Fulvimarina	34	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	33	0	0	0	0	0	0	0	0	0
Fulvivirga	187	1	20	19	0	0	0	0	10	1	1	0	0	0	0	0	0	19	1	25	85	5	0	0	0	0	0
Fusibacter	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	162439	1258	218	340	27	50	36638	1449	15532	99446	6581	202	43	83	59	37	20	43	228	33	21	17	14	12	39	22	27
Gallibacterium	997	0	0	0	0	0	236	6	46	692	11	1	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0
Gallionella	657	15	43	2	1	0	2	4	12	0	2	29	16	67	176	239	0	43	2	0	0	3	0	0	1	0	0
Gardnerella	7	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gelidibacter	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	10	2	1	0	0	0	0	0	0
Gemella	19210	3	3	1	7	6	15562	911	894	1481	237	45	5	14	6	4	2	6	9	1	0	2	1	3	2	4	1
Gemmata	9860	2905	3204	2618	2	0	2	66	8	2	1	3	40	499	208	226	1	2	4	1	1	2	7	3	24	14	17
Gemmatimonas	10375	1239	3597	1570	1	0	1	8	42	2	6	654	34	1144	1088	947	6	1	3	1	3	1	1	0	9	7	10
Geobacillus	28	0	2	0	0	0	11	5	0	1	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0
Geobacter	51065	27	705	7	4	1	1	3	5	14	10	63	129	6886	19405	20588	123	27	14	24	728	2195	9	31	51	11	4
Geodermatophilus	7195	70	329	6602	1	1	22	51	25	1	2	16	9	17	2	7	0	2	1	1	10	1	0	2	2	2	19
Georgenia	379	11	27	75	0	0	12	74	32	0	0	23	4	0	7	13	11	42	32	0	13	1	0	0	1	1	0
Geothrix	1474	8	2	0	0	0	0	0	0	1	0	1	24	279	491	662	2	1	0	0	0	0	1	0	2	0	0
Giesbergeria	13	1	0	1	0	0	0	4	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gillisia	201	0	0	0	0	0	8	153	26	0	1	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0
Glaciecola	1257	1	0	0	0	0	1	1	0	0	0	0	0	11	4	1	55	1130	34	3	5	0	0	0	8	1	2
Gloeotrichia	25	0	0	3	0	0	0	0	0	0	0	1	1	1	5	13	0	0	0	0	0	1	0	0	0	0	0
Gluconacetobacter	36	28	5	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Gluconobacter	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycomyces	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0
Goodfellowiella	25	5	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonia	5577	1	1	3	0	0	97	5380	39	13	4	10	0	3	1	2	0	2	0	1	5	11	1	0	1	0	2
GOUTA19	4219	0	1	0	0	0	0	0	0	2	1	10	21	338	1366	2450	12	1	4	1	5	4	0	2	1	0	0
GOUTA7	38	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	33	0	0	0	0	0
Gramella	54	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	41	4	0	5	3	0	0	0	0	0
Granulicatella	22140	4	5	3	7	5	11543	288	671	9314	172	55	5	6	5	5	0	4	22	0	2	1	2	5	8	2	6
Haematobacter	325	0	0	0	1	0	2	77	2	0	0	49	2	44	89	44	0	11	2	0	0	0	0	1	1	0	0
Haemophilus	456928	38	74	35	179	69	40060	1069	6621	397093	7435	1926	121	376	137	176	53	134	714	40	72	46	82	47	138	127	66
Hahella	233	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	7	4	96	119	2	0	0	0	1	0
Haliangium	647	35	90	515	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0	1
Haliscomenobacter	112	0	14	0	0	0	0	0	0	1	0	4	35	6	6	6	0	21	1	12	3	1	0	0	0	2	0
Haloanella	440	0	28	0	0	0	2	37	368	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Haloarcula	17	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Halobacillus	12	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0
Halochromatium	105	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	59	40	0	0	0	0	0
Haloferula	363	1	3	2	0	0	0	0	0	1	1	1	21	247	17	11	0	2	0	48	6	0	0	0	2	0	0
Halolactibacillus	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0
Halomicrobium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Halomicronema	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Halomonas	1862	3	2	1	0	0	2	86	0	18	3	27	1	4	5	5	3	20	1659	3	15	4	1	0	0	0	0
Haloplasma	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Haloterrigena	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Halothiobacillus	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
HB118	17	0	0	0	0	0	0	0	0	0	0	0	1	1	5	10	0	0	0	0	0	0	0	0	0	0	0
HB2_32_21	285	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	2	25	217	35	0	0	0	0	0
Helcococcus	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter	29	18	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum	932	12	18	1	0	0	1	1	0	0	1	22	3	171	476	220	4	0	0	0	0	0	0	0	1	0	1
Hirschia	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
Histophilus	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holdemania	12882	5	11	4	378	51	1	1	3	2	3	0	0	18	1	0	0	3	1	14	2	36	180	232	4972	2641	4323
HTCC	23171	5	4	3	3	3	1	6	4	62	11	9	9	125	194	45	5136	10895	3670	503	2138	308	4	5	13	8	7
HTCC2207	48149	3	4	2	5	1	0	8	1	79	9	10	0	295	61	18	1002	40011	6559	10	16	10	3	3	25	7	7
Hydrocarboniphaga	70	0	56	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0
Hydrogenophaga	4055	5	6	2	0	0	1	38	2	3	45	3715	52	47	62	47	12	12	1	1	0	0	0	1	2	1	0
Hydrogenophilus	11037	4	0	0	1	2	4	10239	700	25	15	8	2	3	5	3	0	8	4	2	1	0	0	3	5	3	0
Hylemonella	14829	719	1521	99	1	2	49	6067	168	19	77	4966	119	111	515	227	8	121	13	3	2	0	0	3	7	6	6
Hymenobacter	5389	46	194	2579	0	0	444	1314	238	3	4	4	513	5	2	6	0	2	1	5	4	0	0	0	1	3	21
Hyphomicrobium	11419	80	1442	246	3	1	41	220	24	3	4	10	25	2346	3820	2970	26	23	5	1	71	22	3	9	18	3	3
Hyphomonas	210	0	1	3	0	0	0	0	1	0	1	150	11	6	10	6	0	5	0	0	9	7	0	0	0	0	0
Iamia	706	168	160	218	0	0	21	53	14	1	0	0	1	36	15	12	0	0	0	0	2	0	0	0	2	2	1
Ideonella	104	3	1	2	0	0	0	19	1	0	0	21	6	18	20	9	0	2	0	0	0	1	0	0	0	1	0
Ignatzschineria	5	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ignavibacterium	2077	0	0	0	0	0	0	0	0	0	2	1	6	344	959	677	8	2	0	5	22	49	0	1	1	0	0
Inquilinus	139	75	16	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	14	23	3	0	0	0	0	0
Iodobacter	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Isoptericola	24	1	4	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1
J2_29	4566	3047	471	889	2	0	49	2	3	22	1	0	1	2	0	2	2	30	25	1	0	0	1	0	10	1	5
Janibacter	558	17	19	8	0	0	10	468	11	12	0	8	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
